epoch: 0	train ppl: 527.7153326816813	val ppl: 284.2346986566165	best val: 284.2346986566165	time (s) spent in epoch: 95.5857286453247
epoch: 1	train ppl: 233.8439271879698	val ppl: 204.50739081298119	best val: 204.50739081298119	time (s) spent in epoch: 95.92506861686707
epoch: 2	train ppl: 173.01469223204	val ppl: 175.3064553649741	best val: 175.3064553649741	time (s) spent in epoch: 96.0307674407959
epoch: 3	train ppl: 141.47723100206804	val ppl: 158.19272588879514	best val: 158.19272588879514	time (s) spent in epoch: 95.89166045188904
epoch: 4	train ppl: 120.42417327214484	val ppl: 146.7643503740055	best val: 146.7643503740055	time (s) spent in epoch: 96.0156581401825
epoch: 5	train ppl: 104.89543702135656	val ppl: 139.02953913947215	best val: 139.02953913947215	time (s) spent in epoch: 96.03533697128296
epoch: 6	train ppl: 92.72743024175368	val ppl: 133.6867024190472	best val: 133.6867024190472	time (s) spent in epoch: 95.96291542053223
epoch: 7	train ppl: 82.76963009927523	val ppl: 130.35990571179536	best val: 130.35990571179536	time (s) spent in epoch: 95.92913699150085
epoch: 8	train ppl: 74.46148737898255	val ppl: 128.8713777885079	best val: 128.8713777885079	time (s) spent in epoch: 96.11003470420837
epoch: 9	train ppl: 67.40802168081203	val ppl: 128.28414153788862	best val: 128.28414153788862	time (s) spent in epoch: 95.93189811706543
epoch: 10	train ppl: 61.314758701401466	val ppl: 128.23010101192295	best val: 128.23010101192295	time (s) spent in epoch: 95.92859315872192
epoch: 11	train ppl: 55.90398110116919	val ppl: 128.83441667626624	best val: 128.23010101192295	time (s) spent in epoch: 95.26277184486389
epoch: 12	train ppl: 51.198694107342554	val ppl: 129.93690012997155	best val: 128.23010101192295	time (s) spent in epoch: 95.40702271461487
epoch: 13	train ppl: 46.91738745118387	val ppl: 132.19816540163433	best val: 128.23010101192295	time (s) spent in epoch: 95.34217262268066
epoch: 14	train ppl: 43.17387062037288	val ppl: 134.92443518747095	best val: 128.23010101192295	time (s) spent in epoch: 95.36483192443848
epoch: 15	train ppl: 39.729477602236045	val ppl: 137.86433985165283	best val: 128.23010101192295	time (s) spent in epoch: 95.30140972137451
epoch: 16	train ppl: 36.632481889171046	val ppl: 141.91024372259923	best val: 128.23010101192295	time (s) spent in epoch: 95.2720742225647
epoch: 17	train ppl: 33.87167519507987	val ppl: 147.32520650961496	best val: 128.23010101192295	time (s) spent in epoch: 95.30561137199402
epoch: 18	train ppl: 31.314143541567287	val ppl: 152.74274462821236	best val: 128.23010101192295	time (s) spent in epoch: 95.33451223373413
epoch: 19	train ppl: 29.001552504155487	val ppl: 157.19408610772604	best val: 128.23010101192295	time (s) spent in epoch: 95.4302818775177
epoch: 20	train ppl: 26.893441049523265	val ppl: 163.23531659668902	best val: 128.23010101192295	time (s) spent in epoch: 95.31462502479553
epoch: 21	train ppl: 24.93990187212157	val ppl: 170.0757978899402	best val: 128.23010101192295	time (s) spent in epoch: 95.44655990600586
epoch: 22	train ppl: 23.118449537872486	val ppl: 177.85515386628393	best val: 128.23010101192295	time (s) spent in epoch: 95.42022633552551
epoch: 23	train ppl: 21.54296024443896	val ppl: 185.44406796263675	best val: 128.23010101192295	time (s) spent in epoch: 95.34084987640381
epoch: 24	train ppl: 20.012508985798558	val ppl: 193.54390578276707	best val: 128.23010101192295	time (s) spent in epoch: 95.41576266288757
epoch: 25	train ppl: 18.676293221569424	val ppl: 202.2157149027944	best val: 128.23010101192295	time (s) spent in epoch: 95.47163462638855
epoch: 26	train ppl: 17.415514439014736	val ppl: 213.5442745407452	best val: 128.23010101192295	time (s) spent in epoch: 95.34499406814575
epoch: 27	train ppl: 16.303888223989514	val ppl: 225.01790009226755	best val: 128.23010101192295	time (s) spent in epoch: 95.45514750480652
epoch: 28	train ppl: 15.222849192433955	val ppl: 236.46331347627628	best val: 128.23010101192295	time (s) spent in epoch: 95.35683250427246
epoch: 29	train ppl: 14.249754974023727	val ppl: 248.40962096650955	best val: 128.23010101192295	time (s) spent in epoch: 95.34936046600342
epoch: 30	train ppl: 13.342267552013137	val ppl: 261.7661002379212	best val: 128.23010101192295	time (s) spent in epoch: 95.42105889320374
epoch: 31	train ppl: 12.543589224600598	val ppl: 277.1649312368147	best val: 128.23010101192295	time (s) spent in epoch: 95.40089917182922
epoch: 32	train ppl: 11.768353892670515	val ppl: 290.82217509131425	best val: 128.23010101192295	time (s) spent in epoch: 95.38149094581604
epoch: 33	train ppl: 11.079068400724747	val ppl: 308.2841647678329	best val: 128.23010101192295	time (s) spent in epoch: 95.36037182807922
epoch: 34	train ppl: 10.456534346192397	val ppl: 323.7174818323501	best val: 128.23010101192295	time (s) spent in epoch: 95.49107098579407
epoch: 35	train ppl: 9.889129469810547	val ppl: 340.7236893438812	best val: 128.23010101192295	time (s) spent in epoch: 95.26925468444824
epoch: 36	train ppl: 9.337716006649758	val ppl: 361.2562970534882	best val: 128.23010101192295	time (s) spent in epoch: 95.41497874259949
epoch: 37	train ppl: 8.836988261351802	val ppl: 380.3887966163571	best val: 128.23010101192295	time (s) spent in epoch: 95.51454424858093
epoch: 38	train ppl: 8.379705355104463	val ppl: 401.84065636112047	best val: 128.23010101192295	time (s) spent in epoch: 95.37972831726074
epoch: 39	train ppl: 7.955417376647435	val ppl: 428.2839623157988	best val: 128.23010101192295	time (s) spent in epoch: 95.3485164642334
